date,AAPL UW Equity,AXP UN Equity,BA UN Equity,CAT UN Equity,CSCO UW Equity,CVX UN Equity,DD UN Equity,DIS UN Equity,GE UN Equity,GS UN Equity,HD UN Equity,IBM UN Equity,INTC UW Equity,JNJ UN Equity,JPM UN Equity,KO UN Equity,MCD UN Equity,MMM UN Equity,MRK UN Equity,MSFT UW Equity,NKE UN Equity,PFE UN Equity,PG UN Equity,TRV UN Equity,UNH UN Equity,UTX UN Equity,V UN Equity,VZ UN Equity,WMT UN Equity,XOM UN Equity
2014-01-02,79.0186,89.45,136.67,89.87,22.0,124.14,60.522,76.27,27.5,176.89,82.02,185.53,25.79,91.03,58.21,40.66,96.41,138.13,49.49,37.16,39.12,30.46,80.54,89.33,74.57,112.49,55.2525,49.0,78.91,99.75
2014-01-03,77.2829,89.74,137.62,89.82,21.98,124.35,60.5885,76.11,27.48,178.15,81.89,186.64,25.78,91.85,58.66,40.46,96.54,138.45,49.73,36.91,39.015,30.52,80.45,89.16,75.1,112.9,55.29,48.42,78.65,99.51
2014-01-06,77.7043,89.7,138.41,88.64,22.01,124.02,59.8095,75.82,27.26,179.37,81.1,186.0,25.46,92.33,59.0,40.27,95.85,137.63,49.74,36.16,38.715,30.55,80.64,88.92,74.24,112.79,54.9575,48.69,78.21,99.66
2014-01-07,77.1614,89.36,140.51,88.93,22.31,125.07,59.2111,76.34,27.29,178.29,81.5,189.71,25.59,94.29,58.32,40.39,96.38,137.65,50.11,36.41,38.745,30.74,81.42,88.4,76.51,113.51,55.3775,49.3,78.45,101.07
2014-01-08,77.6371,89.41,140.82,89.14,22.3,123.29,59.971,75.22,27.21,178.44,81.93,187.97,25.43,94.16,58.87,39.94,95.41,136.63,49.79,35.76,38.545,30.95,80.24,87.58,75.62,113.65,55.555,48.5,77.83,100.74
2014-01-09,76.6386,88.88,142.13,89.71,22.09,123.29,60.7405,74.9,27.22,177.4,81.57,187.38,25.31,94.73,58.76,39.73,95.46,136.45,49.52,35.53,38.545,30.93,80.42,87.68,76.08,113.71,55.4775,47.5,78.09,99.76
2014-01-10,76.1343,88.55,141.9,90.51,22.21,121.01,60.3605,75.39,26.96,178.39,82.01,187.26,25.53,94.74,58.49,40.13,95.8,136.18,49.88,36.04,38.46,30.69,80.3,87.49,74.7,113.83,55.2825,47.75,78.04,100.52
2014-01-13,76.5329,86.99,140.7,89.89,22.19,119.25,59.5245,73.27,26.73,175.88,80.97,184.16,25.5,94.5,57.7,39.53,94.83,134.68,53.12,34.99,37.59,30.54,80.01,86.34,73.94,112.8,54.725,47.03,77.49,98.55
2014-01-14,78.0557,87.12,140.01,90.56,22.41,119.57,60.37,74.45,26.97,176.6,81.01,185.92,26.51,94.72,57.74,39.69,95.22,137.41,53.0,35.78,37.585,31.0,80.87,87.45,74.02,112.63,55.6625,47.08,77.96,99.12
2014-01-15,79.6243,88.25,140.62,92.41,22.78,119.18,60.541,74.28,27.34,178.75,81.07,187.74,26.67,94.8,59.49,39.76,95.46,138.44,52.52,36.76,37.715,31.18,80.79,87.88,74.84,114.07,55.94,48.27,77.66,98.78
2014-01-16,79.1786,87.78,140.21,92.01,22.78,118.83,60.788,74.21,27.2,175.17,81.26,188.76,26.54,94.64,58.99,39.71,96.06,138.16,52.5,36.89,37.395,31.17,80.56,87.24,72.76,114.22,55.4425,48.53,76.76,98.94
2014-01-17,77.2286,90.97,140.46,91.44,22.74,119.29,60.8165,73.98,26.58,176.28,81.0,190.09,25.85,95.06,58.11,39.28,94.93,137.31,51.95,36.38,36.695,31.09,79.88,86.47,72.52,114.21,58.045,48.35,76.19,99.16
2014-01-21,78.4386,90.59,141.67,90.6,22.83,120.36,60.541,74.2,26.29,173.2,80.46,188.43,25.59,94.03,58.17,39.92,95.08,136.99,51.83,36.17,36.875,31.23,80.18,85.0,73.16,114.99,57.9825,47.7,75.84,98.5
2014-01-22,78.7871,91.13,144.37,89.64,22.84,120.43,59.8665,75.31,25.99,173.68,80.2,182.25,25.31,94.32,57.59,39.9,94.88,136.48,51.35,35.93,36.75,31.27,79.23,84.56,73.4,116.12,58.2475,47.33,75.35,97.88
2014-01-23,79.4543,89.17,141.31,88.48,22.56,118.39,58.6601,74.79,25.82,170.75,80.24,182.73,25.13,92.74,56.47,39.24,95.32,134.71,51.6,36.055,36.365,31.01,78.24,83.07,73.2,114.84,57.0625,47.86,74.96,96.97
2014-01-24,78.01,86.95,136.65,86.17,22.2,116.29,56.9692,72.72,24.95,167.64,79.16,179.64,24.81,90.61,55.09,38.84,94.43,130.22,51.98,36.81,35.825,30.09,79.18,81.61,71.6,111.8,55.3125,47.63,74.42,94.85
2014-01-27,78.6429,85.72,137.36,91.29,22.0,116.43,57.2256,72.25,25.07,164.69,78.94,177.9,24.72,89.94,55.09,38.73,94.07,128.96,52.53,36.03,35.95,29.66,78.47,82.29,71.65,113.79,54.055,47.69,74.15,94.92
2014-01-28,72.4214,86.64,137.09,92.47,21.75,116.84,56.5892,72.88,25.46,166.25,78.54,176.85,24.9,90.1,55.74,38.87,94.18,129.81,52.87,36.27,36.355,30.42,79.11,83.1,71.71,113.86,55.24,47.36,74.67,95.65
2014-01-29,71.51,85.55,129.78,90.62,21.65,116.0,57.6721,71.33,25.29,163.9,76.68,176.4,24.68,88.9,55.53,37.9,93.15,130.25,52.21,36.66,35.885,30.11,77.64,82.21,71.26,113.27,54.28,47.69,74.1,95.11
2014-01-30,71.3486,86.62,126.53,93.2,21.98,116.45,58.4606,73.22,25.5,165.84,76.93,177.36,24.74,89.5,56.0,38.17,93.8,128.05,53.51,36.87,36.97,30.82,76.87,82.36,72.8,114.68,55.22,47.63,74.75,93.99
2014-01-31,71.5143,85.02,125.26,93.91,21.91,111.63,57.9571,72.61,25.13,164.12,76.85,176.68,24.54,88.47,55.36,37.82,94.17,128.19,52.97,37.85,36.425,30.4,76.62,81.28,72.28,114.02,53.8575,48.02,74.68,92.16
